entity,code,year,libdem,foe,csp,J,h,libdem_lag,h_lag,J_lag,delta_libdem,hxJ_lag,libdem_x_J_lag
Germany,DEU,2000,0.86,0.984,0.98,0.016000000000000014,0.98,,,,,,
Germany,DEU,2001,0.86,0.984,0.98,0.016000000000000014,0.98,0.86,0.98,0.016000000000000014,0.0,0.015680000000000013,0.013760000000000012
Germany,DEU,2002,0.859,0.984,0.98,0.016000000000000014,0.98,0.86,0.98,0.016000000000000014,-0.0010000000000000009,0.015680000000000013,0.013760000000000012
Germany,DEU,2003,0.857,0.984,0.98,0.016000000000000014,0.98,0.859,0.98,0.016000000000000014,-0.0020000000000000018,0.015680000000000013,0.013744000000000011
Germany,DEU,2004,0.857,0.984,0.98,0.016000000000000014,0.98,0.857,0.98,0.016000000000000014,0.0,0.015680000000000013,0.013712000000000012
Germany,DEU,2005,0.859,0.984,0.98,0.016000000000000014,0.98,0.857,0.98,0.016000000000000014,0.0020000000000000018,0.015680000000000013,0.013712000000000012
Germany,DEU,2006,0.864,0.984,0.98,0.016000000000000014,0.98,0.859,0.98,0.016000000000000014,0.0050000000000000044,0.015680000000000013,0.013744000000000011
Germany,DEU,2007,0.864,0.984,0.98,0.016000000000000014,0.98,0.864,0.98,0.016000000000000014,0.0,0.015680000000000013,0.013824000000000012
Germany,DEU,2008,0.864,0.984,0.98,0.016000000000000014,0.98,0.864,0.98,0.016000000000000014,0.0,0.015680000000000013,0.013824000000000012
Germany,DEU,2009,0.862,0.984,0.98,0.016000000000000014,0.98,0.864,0.98,0.016000000000000014,-0.0020000000000000018,0.015680000000000013,0.013824000000000012
Germany,DEU,2010,0.862,0.984,0.98,0.016000000000000014,0.98,0.862,0.98,0.016000000000000014,0.0,0.015680000000000013,0.013792000000000013
Germany,DEU,2011,0.864,0.984,0.98,0.016000000000000014,0.98,0.862,0.98,0.016000000000000014,0.0020000000000000018,0.015680000000000013,0.013792000000000013
Germany,DEU,2012,0.863,0.982,0.98,0.018000000000000016,0.98,0.864,0.98,0.016000000000000014,-0.0010000000000000009,0.015680000000000013,0.013824000000000012
Germany,DEU,2013,0.853,0.982,0.98,0.018000000000000016,0.98,0.863,0.98,0.018000000000000016,-0.010000000000000009,0.017640000000000017,0.015534000000000013
Germany,DEU,2014,0.845,0.982,0.98,0.018000000000000016,0.98,0.853,0.98,0.018000000000000016,-0.008000000000000007,0.017640000000000017,0.015354000000000013
Germany,DEU,2015,0.845,0.979,0.98,0.02100000000000002,0.98,0.845,0.98,0.018000000000000016,0.0,0.017640000000000017,0.015210000000000013
Germany,DEU,2016,0.848,0.979,0.98,0.02100000000000002,0.98,0.845,0.98,0.02100000000000002,0.0030000000000000027,0.02058000000000002,0.017745000000000014
Germany,DEU,2017,0.842,0.978,0.98,0.02200000000000002,0.98,0.848,0.98,0.02100000000000002,-0.006000000000000005,0.02058000000000002,0.017808000000000015
Germany,DEU,2018,0.834,0.962,0.98,0.038000000000000034,0.98,0.842,0.98,0.02200000000000002,-0.008000000000000007,0.02156000000000002,0.018524000000000016
Germany,DEU,2019,0.831,0.962,0.98,0.038000000000000034,0.98,0.834,0.98,0.038000000000000034,-0.0030000000000000027,0.03724000000000003,0.031692000000000026
Germany,DEU,2020,0.821,0.956,0.98,0.04400000000000004,0.98,0.831,0.98,0.038000000000000034,-0.010000000000000009,0.03724000000000003,0.03157800000000003
Germany,DEU,2021,0.814,0.956,0.98,0.04400000000000004,0.98,0.821,0.98,0.04400000000000004,-0.007000000000000006,0.04312000000000004,0.03612400000000003
Germany,DEU,2022,0.806,0.945,0.98,0.05500000000000005,0.98,0.814,0.98,0.04400000000000004,-0.007999999999999896,0.04312000000000004,0.03581600000000003
Germany,DEU,2023,0.812,0.945,0.98,0.05500000000000005,0.98,0.806,0.98,0.05500000000000005,0.006000000000000005,0.053900000000000045,0.04433000000000004
Germany,DEU,2024,0.778,0.92,0.979,0.07999999999999996,0.979,0.812,0.98,0.05500000000000005,-0.03400000000000003,0.053900000000000045,0.04466000000000004
Germany,DEU,2025,0.782,0.914,0.979,0.08599999999999997,0.979,0.778,0.979,0.07999999999999996,0.0040000000000000036,0.07831999999999996,0.06223999999999997
Hungary,HUN,2000,0.75,0.949,0.788,0.051000000000000045,0.788,,,,,,
Hungary,HUN,2001,0.75,0.949,0.788,0.051000000000000045,0.788,0.75,0.788,0.051000000000000045,0.0,0.040188000000000036,0.038250000000000034
Hungary,HUN,2002,0.755,0.955,0.788,0.04500000000000004,0.788,0.75,0.788,0.051000000000000045,0.0050000000000000044,0.040188000000000036,0.038250000000000034
Hungary,HUN,2003,0.759,0.955,0.788,0.04500000000000004,0.788,0.755,0.788,0.04500000000000004,0.0040000000000000036,0.03546000000000003,0.03397500000000003
Hungary,HUN,2004,0.759,0.955,0.788,0.04500000000000004,0.788,0.759,0.788,0.04500000000000004,0.0,0.03546000000000003,0.03415500000000003
Hungary,HUN,2005,0.754,0.955,0.775,0.04500000000000004,0.775,0.759,0.788,0.04500000000000004,-0.0050000000000000044,0.03546000000000003,0.03415500000000003
Hungary,HUN,2006,0.742,0.947,0.775,0.05300000000000005,0.775,0.754,0.775,0.04500000000000004,-0.01200000000000001,0.03487500000000003,0.03393000000000003
Hungary,HUN,2007,0.765,0.952,0.775,0.04800000000000004,0.775,0.742,0.775,0.05300000000000005,0.02300000000000002,0.041075000000000035,0.039326000000000035
Hungary,HUN,2008,0.766,0.952,0.775,0.04800000000000004,0.775,0.765,0.775,0.04800000000000004,0.0010000000000000009,0.03720000000000003,0.03672000000000003
Hungary,HUN,2009,0.766,0.952,0.775,0.04800000000000004,0.775,0.766,0.775,0.04800000000000004,0.0,0.03720000000000003,0.03676800000000004
Hungary,HUN,2010,0.677,0.885,0.705,0.11499999999999999,0.705,0.766,0.775,0.04800000000000004,-0.08899999999999997,0.03720000000000003,0.03676800000000004
Hungary,HUN,2011,0.639,0.863,0.668,0.137,0.668,0.677,0.705,0.11499999999999999,-0.038000000000000034,0.081075,0.077855
Hungary,HUN,2012,0.621,0.854,0.668,0.14600000000000002,0.668,0.639,0.668,0.137,-0.018000000000000016,0.09151600000000001,0.08754300000000001
Hungary,HUN,2013,0.575,0.783,0.596,0.21699999999999997,0.596,0.621,0.668,0.14600000000000002,-0.04600000000000004,0.09752800000000002,0.09066600000000001
Hungary,HUN,2014,0.521,0.769,0.561,0.23099999999999998,0.561,0.575,0.596,0.21699999999999997,-0.05399999999999994,0.12933199999999997,0.12477499999999997
Hungary,HUN,2015,0.477,0.707,0.573,0.29300000000000004,0.573,0.521,0.561,0.23099999999999998,-0.04400000000000004,0.129591,0.120351
Hungary,HUN,2016,0.474,0.692,0.573,0.30800000000000005,0.573,0.477,0.573,0.29300000000000004,-0.0030000000000000027,0.167889,0.13976100000000002
Hungary,HUN,2017,0.432,0.646,0.573,0.354,0.573,0.474,0.573,0.30800000000000005,-0.04199999999999998,0.176484,0.145992
Hungary,HUN,2018,0.373,0.584,0.55,0.41600000000000004,0.55,0.432,0.573,0.354,-0.059,0.20284199999999997,0.15292799999999998
Hungary,HUN,2019,0.364,0.578,0.55,0.42200000000000004,0.55,0.373,0.55,0.41600000000000004,-0.009000000000000008,0.22880000000000003,0.155168
Hungary,HUN,2020,0.351,0.542,0.567,0.45799999999999996,0.567,0.364,0.55,0.42200000000000004,-0.013000000000000012,0.23210000000000003,0.15360800000000002
Hungary,HUN,2021,0.346,0.524,0.544,0.476,0.544,0.351,0.567,0.45799999999999996,-0.0050000000000000044,0.259686,0.16075799999999998
Hungary,HUN,2022,0.335,0.507,0.538,0.493,0.538,0.346,0.544,0.476,-0.010999999999999954,0.258944,0.16469599999999998
Hungary,HUN,2023,0.323,0.499,0.486,0.501,0.486,0.335,0.538,0.493,-0.01200000000000001,0.265234,0.165155
Hungary,HUN,2024,0.325,0.512,0.434,0.488,0.434,0.323,0.486,0.501,0.0020000000000000018,0.243486,0.161823
Hungary,HUN,2025,0.315,0.493,0.434,0.507,0.434,0.325,0.434,0.488,-0.010000000000000009,0.21179199999999998,0.1586
India,IND,2000,0.584,0.885,0.814,0.11499999999999999,0.814,,,,,,
India,IND,2001,0.584,0.885,0.814,0.11499999999999999,0.814,0.584,0.814,0.11499999999999999,0.0,0.09360999999999998,0.06716
India,IND,2002,0.587,0.885,0.814,0.11499999999999999,0.814,0.584,0.814,0.11499999999999999,0.0030000000000000027,0.09360999999999998,0.06716
India,IND,2003,0.583,0.892,0.861,0.10799999999999998,0.861,0.587,0.814,0.11499999999999999,-0.0040000000000000036,0.09360999999999998,0.067505
India,IND,2004,0.578,0.885,0.813,0.11499999999999999,0.813,0.583,0.861,0.10799999999999998,-0.0050000000000000044,0.09298799999999999,0.06296399999999999
India,IND,2005,0.573,0.892,0.834,0.10799999999999998,0.834,0.578,0.813,0.11499999999999999,-0.0050000000000000044,0.09349499999999998,0.06646999999999999
India,IND,2006,0.569,0.889,0.834,0.11099999999999999,0.834,0.573,0.834,0.10799999999999998,-0.0040000000000000036,0.09007199999999999,0.06188399999999999
India,IND,2007,0.569,0.889,0.839,0.11099999999999999,0.839,0.569,0.834,0.11099999999999999,0.0,0.09257399999999999,0.06315899999999999
India,IND,2008,0.569,0.889,0.839,0.11099999999999999,0.839,0.569,0.839,0.11099999999999999,0.0,0.09312899999999999,0.06315899999999999
India,IND,2009,0.539,0.885,0.839,0.11499999999999999,0.839,0.569,0.839,0.11099999999999999,-0.029999999999999916,0.09312899999999999,0.06315899999999999
India,IND,2010,0.532,0.889,0.839,0.11099999999999999,0.839,0.539,0.839,0.11499999999999999,-0.007000000000000006,0.09648499999999999,0.061985
India,IND,2011,0.532,0.889,0.83,0.11099999999999999,0.83,0.532,0.839,0.11099999999999999,0.0,0.09312899999999999,0.05905199999999999
India,IND,2012,0.525,0.874,0.844,0.126,0.844,0.532,0.83,0.11099999999999999,-0.007000000000000006,0.09212999999999999,0.05905199999999999
India,IND,2013,0.522,0.869,0.828,0.131,0.828,0.525,0.844,0.126,-0.0030000000000000027,0.106344,0.06615
India,IND,2014,0.488,0.812,0.696,0.18799999999999994,0.696,0.522,0.828,0.131,-0.03400000000000003,0.108468,0.06838200000000001
India,IND,2015,0.417,0.658,0.633,0.34199999999999997,0.633,0.488,0.696,0.18799999999999994,-0.07100000000000001,0.13084799999999996,0.09174399999999996
India,IND,2016,0.406,0.612,0.627,0.388,0.627,0.417,0.633,0.34199999999999997,-0.010999999999999954,0.21648599999999998,0.142614
India,IND,2017,0.371,0.568,0.617,0.43200000000000005,0.617,0.406,0.627,0.388,-0.03500000000000003,0.24327600000000002,0.15752800000000003
India,IND,2018,0.363,0.546,0.625,0.45399999999999996,0.625,0.371,0.617,0.43200000000000005,-0.008000000000000007,0.266544,0.16027200000000003
India,IND,2019,0.324,0.527,0.622,0.473,0.622,0.363,0.625,0.45399999999999996,-0.03899999999999998,0.28374999999999995,0.16480199999999998
India,IND,2020,0.292,0.449,0.636,0.5509999999999999,0.636,0.324,0.622,0.473,-0.03200000000000003,0.29420599999999997,0.153252
India,IND,2021,0.307,0.466,0.627,0.534,0.627,0.292,0.636,0.5509999999999999,0.015000000000000013,0.35043599999999997,0.16089199999999998
India,IND,2022,0.291,0.442,0.689,0.558,0.689,0.307,0.627,0.534,-0.016000000000000014,0.334818,0.163938
India,IND,2023,0.273,0.422,0.605,0.5780000000000001,0.605,0.291,0.689,0.558,-0.01799999999999996,0.384462,0.162378
India,IND,2024,0.281,0.477,0.647,0.523,0.647,0.273,0.605,0.5780000000000001,0.008000000000000007,0.34969000000000006,0.15779400000000002
India,IND,2025,0.26,0.458,0.694,0.542,0.694,0.281,0.647,0.523,-0.02100000000000002,0.33838100000000004,0.146963
Poland,POL,2000,0.8,0.964,0.869,0.03600000000000003,0.869,,,,,,
Poland,POL,2001,0.806,0.964,0.869,0.03600000000000003,0.869,0.8,0.869,0.03600000000000003,0.006000000000000005,0.03128400000000003,0.028800000000000027
Poland,POL,2002,0.813,0.964,0.869,0.03600000000000003,0.869,0.806,0.869,0.03600000000000003,0.006999999999999895,0.03128400000000003,0.029016000000000028
Poland,POL,2003,0.813,0.964,0.869,0.03600000000000003,0.869,0.813,0.869,0.03600000000000003,0.0,0.03128400000000003,0.029268000000000023
Poland,POL,2004,0.813,0.964,0.869,0.03600000000000003,0.869,0.813,0.869,0.03600000000000003,0.0,0.03128400000000003,0.029268000000000023
Poland,POL,2005,0.815,0.964,0.869,0.03600000000000003,0.869,0.813,0.869,0.03600000000000003,0.0020000000000000018,0.03128400000000003,0.029268000000000023
Poland,POL,2006,0.807,0.95,0.856,0.050000000000000044,0.856,0.815,0.869,0.03600000000000003,-0.007999999999999896,0.03128400000000003,0.029340000000000026
Poland,POL,2007,0.803,0.95,0.856,0.050000000000000044,0.856,0.807,0.856,0.050000000000000044,-0.0040000000000000036,0.04280000000000004,0.04035000000000004
Poland,POL,2008,0.825,0.973,0.856,0.027000000000000024,0.856,0.803,0.856,0.050000000000000044,0.02199999999999991,0.04280000000000004,0.04015000000000004
Poland,POL,2009,0.825,0.973,0.861,0.027000000000000024,0.861,0.825,0.856,0.027000000000000024,0.0,0.02311200000000002,0.022275000000000017
Poland,POL,2010,0.827,0.971,0.889,0.029000000000000026,0.889,0.825,0.861,0.027000000000000024,0.0020000000000000018,0.02324700000000002,0.022275000000000017
Poland,POL,2011,0.827,0.971,0.863,0.029000000000000026,0.863,0.827,0.889,0.029000000000000026,0.0,0.025781000000000023,0.02398300000000002
Poland,POL,2012,0.825,0.971,0.838,0.029000000000000026,0.838,0.827,0.863,0.029000000000000026,-0.0020000000000000018,0.02502700000000002,0.02398300000000002
Poland,POL,2013,0.821,0.97,0.845,0.030000000000000027,0.845,0.825,0.838,0.029000000000000026,-0.0040000000000000036,0.02430200000000002,0.02392500000000002
Poland,POL,2014,0.812,0.97,0.845,0.030000000000000027,0.845,0.821,0.845,0.030000000000000027,-0.008999999999999897,0.025350000000000022,0.02463000000000002
Poland,POL,2015,0.775,0.951,0.753,0.049000000000000044,0.753,0.812,0.845,0.030000000000000027,-0.03700000000000003,0.025350000000000022,0.024360000000000024
Poland,POL,2016,0.598,0.722,0.681,0.278,0.681,0.775,0.753,0.049000000000000044,-0.17700000000000005,0.036897000000000034,0.037975000000000037
Poland,POL,2017,0.542,0.692,0.637,0.30800000000000005,0.637,0.598,0.681,0.278,-0.05599999999999994,0.18931800000000004,0.166244
Poland,POL,2018,0.524,0.692,0.634,0.30800000000000005,0.634,0.542,0.637,0.30800000000000005,-0.018000000000000016,0.19619600000000004,0.16693600000000003
Poland,POL,2019,0.505,0.68,0.634,0.31999999999999995,0.634,0.524,0.634,0.30800000000000005,-0.019000000000000017,0.19527200000000003,0.16139200000000004
