J,mu,condition,alpha,p_collapse,p_rigidity,p_fragmentation,p_mixed,n_collapsed,rigidity_share_of_collapsed,mean_final_m,mean_final_wealth
0.5,20,active_coupling,1.0,1.0,0.0,0.51,0.49,100,0.0,0.002695817051291607,0.0
0.5,30,active_coupling,1.0,1.0,0.0,0.49,0.51,100,0.0,0.0825009609321444,0.0
0.5,40,active_coupling,1.0,1.0,0.0,0.44,0.56,100,0.0,-0.06010025103627445,0.25547737599259657
0.5,50,active_coupling,1.0,0.21,0.0,0.12,0.09,21,0.0,0.9579204571627392,960.044391545021
0.5,60,active_coupling,1.0,0.01,0.0,0.01,0.0,1,0.0,0.9851152388198777,1476.1726751079232
0.5,70,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9827192809324127,1972.7550538149596
0.5,80,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9919513707439144,2467.166419063139
0.5,90,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9836989458128278,2963.347950758155
0.5,100,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9715922406076669,3457.3584572567024
1.0,20,active_coupling,1.0,1.0,0.02,0.47,0.51,100,0.02,0.006153250225962466,0.0
1.0,30,active_coupling,1.0,1.0,0.03,0.43,0.54,100,0.03,0.07419692654297493,0.0
1.0,40,active_coupling,1.0,0.66,0.01,0.19,0.46,66,0.015151515151515152,0.36730525467682634,157.07938968279225
1.0,50,active_coupling,1.0,0.03,0.0,0.02,0.01,3,0.0,0.984537841777916,981.1355189996111
1.0,60,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9847452142676286,1475.3934699953438
1.0,70,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9802346947812446,1973.77591226922
1.0,80,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9907282211274849,2465.766551260413
1.0,90,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9841638381886412,2962.858763465412
1.0,100,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.985472403471947,3461.0100140704217
1.5,20,active_coupling,1.0,1.0,0.04,0.34,0.62,100,0.04,-0.08245233067533836,0.0
1.5,30,active_coupling,1.0,1.0,0.07,0.33,0.6,100,0.07,0.02632612363513369,0.0
1.5,40,active_coupling,1.0,0.1,0.01,0.02,0.07,10,0.1,0.9799150185345509,476.58849819323115
1.5,50,active_coupling,1.0,0.04,0.0,0.03,0.01,4,0.0,0.9777560641727285,980.1385192570264
1.5,60,active_coupling,1.0,0.01,0.0,0.0,0.01,1,0.0,0.9854259337759919,1478.0525086507319
1.5,70,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9871654546123827,1971.6785168525198
1.5,80,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9853538784200245,2463.977540461219
1.5,90,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9881916183694699,2959.352080047456
1.5,100,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9840677393381648,3460.4302694063604
2.0,20,active_coupling,1.0,1.0,0.13,0.25,0.62,100,0.13,-0.06324919352727192,0.0
2.0,30,active_coupling,1.0,1.0,0.14,0.19,0.67,100,0.14,0.038811849832462775,0.0
2.0,40,active_coupling,1.0,0.03,0.01,0.01,0.01,3,0.3333333333333333,0.981044448985832,483.19159074761745
2.0,50,active_coupling,1.0,0.02,0.0,0.0,0.02,2,0.0,0.9788328493992806,979.8861308433053
2.0,60,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9854029677337224,1476.288596605595
2.0,70,active_coupling,1.0,0.01,0.0,0.0,0.01,1,0.0,0.9787191351542284,1970.1878263765157
2.0,80,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9843363300787431,2468.065350978016
2.0,90,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9875576115414301,2966.0946607156015
2.0,100,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9928722772848565,3459.5118828920527
2.5,20,active_coupling,1.0,1.0,0.29,0.12,0.59,100,0.29,0.03646948928893576,0.0
2.5,30,active_coupling,1.0,1.0,0.33,0.08,0.59,100,0.33,0.08448264255035186,0.0
2.5,40,active_coupling,1.0,0.03,0.02,0.0,0.01,3,0.6666666666666666,0.9884668609984975,484.0045694160662
2.5,50,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9891657964399105,980.4796422093361
2.5,60,active_coupling,1.0,0.01,0.0,0.0,0.01,1,0.0,0.9861552114513595,1475.664462642465
2.5,70,active_coupling,1.0,0.01,0.0,0.0,0.01,1,0.0,0.9916387853000063,1970.826493448652
2.5,80,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9906110552975452,2467.9914734332906
2.5,90,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9829506941865929,2961.660036066854
2.5,100,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9792460945422106,3458.2225430886215
3.0,20,active_coupling,1.0,1.0,0.57,0.03,0.4,100,0.57,-0.010487287771858013,0.0
3.0,30,active_coupling,1.0,1.0,0.58,0.05,0.37,100,0.58,0.06949723701041215,0.0
3.0,40,active_coupling,1.0,0.04,0.0,0.0,0.04,4,0.0,0.9868197974430898,482.8683709759059
3.0,50,active_coupling,1.0,0.02,0.0,0.01,0.01,2,0.0,0.990139870589944,980.0306817048722
3.0,60,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9895632588066708,1477.0143764280247
3.0,70,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9956980178137539,1972.685174204399
3.0,80,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9854366481521082,2469.476796508317
3.0,90,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9862409780639336,2961.395675992711
3.0,100,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9825465955942686,3460.9259884264297
3.5,20,active_coupling,1.0,1.0,0.75,0.05,0.2,100,0.75,-0.16280124749742084,0.0
3.5,30,active_coupling,1.0,1.0,0.71,0.03,0.26,100,0.71,-0.013166795788492603,0.0
3.5,40,active_coupling,1.0,0.02,0.01,0.0,0.01,2,0.5,0.9968246124199781,483.91708038177995
3.5,50,active_coupling,1.0,0.02,0.02,0.0,0.0,2,1.0,0.9877640495161633,980.7715960445345
3.5,60,active_coupling,1.0,0.02,0.01,0.0,0.01,2,0.5,0.9795838829328885,1477.4848653728875
3.5,70,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9872423623401481,1972.8196895740236
3.5,80,active_coupling,1.0,0.01,0.0,0.0,0.01,1,0.0,0.9697220520648215,2468.314256516688
3.5,90,active_coupling,1.0,0.02,0.01,0.0,0.01,2,0.5,0.9871519303173397,2965.214061726752
3.5,100,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9905023714934441,3457.5472748750612
4.0,20,active_coupling,1.0,1.0,0.69,0.01,0.3,100,0.69,-0.08629653895744197,0.0
4.0,30,active_coupling,1.0,1.0,0.88,0.0,0.12,100,0.88,-0.017219882574337105,0.0
4.0,40,active_coupling,1.0,0.01,0.0,0.0,0.01,1,0.0,0.978950159936866,483.5610658351039
4.0,50,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.985541923324681,979.8210131402936
4.0,60,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9811782102611883,1476.3386432899745
4.0,70,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9790674330284691,1969.5675775855418
4.0,80,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9865710116204337,2469.6454012085683
4.0,90,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.989419719223069,2965.123378293838
4.0,100,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9877090600089182,3458.902852365088
4.5,20,active_coupling,1.0,1.0,0.86,0.01,0.13,100,0.86,-0.06344958550225528,0.0
4.5,30,active_coupling,1.0,1.0,0.86,0.01,0.13,100,0.86,0.07725284633066855,0.0
4.5,40,active_coupling,1.0,0.02,0.02,0.0,0.0,2,1.0,0.9859554519163791,483.60798528677
4.5,50,active_coupling,1.0,0.02,0.02,0.0,0.0,2,1.0,0.9858292806573278,979.5419686649902
4.5,60,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9804832874553968,1477.54439114549
4.5,70,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9810654412865317,1972.4437486397242
4.5,80,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9825892217027723,2470.733020877864
4.5,90,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.984134079838456,2961.1884059092076
4.5,100,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9943001231959897,3465.3755530184762
5.0,20,active_coupling,1.0,1.0,0.83,0.0,0.17,100,0.83,0.18772737260033143,0.0
5.0,30,active_coupling,1.0,1.0,0.84,0.0,0.16,100,0.84,0.004268277044071269,0.0
5.0,40,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9660624180037598,479.7656063839742
5.0,50,active_coupling,1.0,0.03,0.03,0.0,0.0,3,1.0,0.9886815235274129,979.9708986646184
5.0,60,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9713332459592909,1476.0916019542713
5.0,70,active_coupling,1.0,0.02,0.02,0.0,0.0,2,1.0,0.9786153557552266,1969.6026361387133
5.0,80,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9812656041493478,2468.9210456862984
5.0,90,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9823628321141554,2965.4299989567517
5.0,100,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9894825618645807,3463.355753713138
