J,mult,p_collapse,p_rigidity,p_fragmentation,p_mixed,mean_final_m,mean_final_wealth
0.5,20,1.0,0.01,0.52,0.47,0.0026958170512916034,0.0
0.5,30,1.0,0.01,0.59,0.4,0.08250096093214442,0.0
0.5,40,1.0,0.0,0.53,0.47,-0.06050531037272475,0.25292409232597474
0.5,50,0.61,0.0,0.38,0.23,0.7467166372978453,731.389258088289
0.5,60,0.05,0.0,0.02,0.03,0.9775504804109326,1465.6569261008249
0.5,70,0.0,0.0,0.0,0.0,0.9811207571854531,1970.7371819333423
0.5,80,0.0,0.0,0.0,0.0,0.9918499001515119,2466.7973263189547
0.5,90,0.0,0.0,0.0,0.0,0.9836823504012006,2963.2904407431024
0.5,100,0.0,0.0,0.0,0.0,0.9715893862747726,3457.3510111658925
1.0,20,1.0,0.01,0.38,0.61,0.006153250225962474,0.0
1.0,30,1.0,0.02,0.44,0.54,0.07419692654297493,0.0
1.0,40,1.0,0.02,0.49,0.49,0.05081100697108906,2.3591144341716785
1.0,50,0.34,0.0,0.18,0.16,0.9609881776853577,953.6998122840124
1.0,60,0.03,0.0,0.01,0.02,0.9773173489445486,1467.6752499449005
1.0,70,0.0,0.0,0.0,0.0,0.979532662591472,1972.367820535138
1.0,80,0.0,0.0,0.0,0.0,0.9906583712791088,2465.5441925668392
1.0,90,0.0,0.0,0.0,0.0,0.9841559624336689,2962.825377351301
1.0,100,0.0,0.0,0.0,0.0,0.9854686785347903,3461.005470946747
1.5,20,1.0,0.0,0.4,0.6,-0.08245233067533833,0.0
1.5,30,1.0,0.07,0.31,0.62,0.02632612363513371,0.0
1.5,40,0.98,0.09,0.3,0.59,0.13652950509449463,43.8007172092144
1.5,50,0.18,0.0,0.03,0.15,0.9601423850733966,959.1581421061005
1.5,60,0.08,0.01,0.05,0.02,0.981817036019356,1473.2999965414886
1.5,70,0.01,0.0,0.0,0.01,0.9867428540307257,1970.9458669934302
1.5,80,0.0,0.0,0.0,0.0,0.9853139543163397,2463.8544979635767
1.5,90,0.0,0.0,0.0,0.0,0.9881875781558079,2959.3317209103607
1.5,100,0.0,0.0,0.0,0.0,0.9840670132765428,3460.427217495779
2.0,20,1.0,0.17,0.23,0.6,-0.06324919352727193,0.0
2.0,30,1.0,0.16,0.18,0.66,0.038811849832462775,0.0
2.0,40,0.52,0.06,0.17,0.29,0.9021542950325683,421.9361594088021
2.0,50,0.19,0.07,0.03,0.09,0.9675445384034878,965.653720575997
2.0,60,0.08,0.02,0.02,0.04,0.9839954274196425,1473.161648640073
2.0,70,0.05,0.0,0.02,0.03,0.9784476646397562,1969.7016350557499
2.0,80,0.04,0.0,0.03,0.01,0.984304464843876,2467.989757527205
2.0,90,0.03,0.0,0.02,0.01,0.9875557667158583,2966.0844733442837
2.0,100,0.0,0.0,0.0,0.0,0.9928720455809588,3459.5096289498765
2.5,20,1.0,0.32,0.14,0.54,0.036469489288935765,0.0
2.5,30,1.0,0.27,0.09,0.64,0.08448264255035186,0.0
2.5,40,0.33,0.15,0.02,0.16,0.9552080804259405,445.42794306428476
2.5,50,0.18,0.04,0.03,0.11,0.9813578941047131,970.4655119747754
2.5,60,0.2,0.07,0.02,0.11,0.9854822490894429,1473.8593239427632
2.5,70,0.1,0.05,0.0,0.05,0.9915143221913598,1970.5434886057858
2.5,80,0.12,0.04,0.02,0.06,0.9905687343760115,2467.943471243856
2.5,90,0.04,0.01,0.0,0.03,0.9829490529395835,2961.6524508349116
2.5,100,0.05,0.01,0.0,0.04,0.979245859707227,3458.221472181028
3.0,20,1.0,0.52,0.06,0.42,-0.010487287771858008,0.0
3.0,30,1.0,0.58,0.03,0.39,0.06949723701041216,0.0
3.0,40,0.33,0.18,0.03,0.12,0.9629797535311391,455.3089950125475
3.0,50,0.19,0.07,0.0,0.12,0.9873694975143552,973.4713180894925
3.0,60,0.25,0.17,0.0,0.08,0.9891837906979937,1475.9084375893747
3.0,70,0.17,0.1,0.0,0.07,0.9956150394430182,1972.4993045777853
3.0,80,0.2,0.09,0.01,0.1,0.9854233844992674,2469.4515675202715
3.0,90,0.14,0.06,0.01,0.07,0.9862391301428819,2961.3914261428204
3.0,100,0.14,0.12,0.0,0.02,0.9825462121900955,3460.9253006109816
3.5,20,1.0,0.73,0.07,0.2,-0.16280124749742084,0.0
3.5,30,1.0,0.74,0.05,0.21,-0.013166795788492596,0.0
3.5,40,0.38,0.28,0.02,0.08,0.9881290755636897,466.36097556957486
3.5,50,0.26,0.17,0.01,0.08,0.9849154103551935,977.2357133950806
3.5,60,0.28,0.16,0.0,0.12,0.9792553459509636,1476.840919720732
3.5,70,0.25,0.18,0.01,0.06,0.9871931655533264,1972.7013281274442
3.5,80,0.2,0.13,0.02,0.05,0.969713644987781,2468.2994341473964
3.5,90,0.22,0.16,0.0,0.06,0.9871510304257497,2965.211595973866
3.5,100,0.21,0.1,0.0,0.11,0.9905023148932224,3457.54684790865
4.0,20,1.0,0.77,0.01,0.22,-0.08629653895744199,0.0
4.0,30,1.0,0.79,0.01,0.2,-0.017219882574337094,0.0
4.0,40,0.42,0.34,0.0,0.08,0.9642397126172548,470.9739091740992
4.0,50,0.25,0.19,0.01,0.05,0.9838099246814939,977.3062378702609
4.0,60,0.36,0.27,0.01,0.08,0.980916953964813,1475.8701405737017
4.0,70,0.2,0.17,0.0,0.03,0.9790338924980688,1968.723204257519
4.0,80,0.27,0.22,0.0,0.05,0.9666657344221723,2444.786921470306
4.0,90,0.17,0.13,0.0,0.04,0.9894193013803166,2965.120715103918
4.0,100,0.19,0.15,0.0,0.04,0.9877089500127844,3458.8294423326547
4.5,20,1.0,0.84,0.0,0.16,-0.06344958550225527,0.0
4.5,30,1.0,0.81,0.0,0.19,0.07725284633066855,0.0
4.5,40,0.35,0.28,0.01,0.06,0.9535583145505457,463.48462185869647
4.5,50,0.39,0.35,0.0,0.04,0.9246045623189031,947.7651072904811
4.5,60,0.25,0.22,0.0,0.03,0.9606779026889326,1462.4938334739118
4.5,70,0.32,0.29,0.01,0.02,0.9415650951150211,1932.1370710735555
4.5,80,0.25,0.21,0.0,0.04,0.9626948893860369,2445.599712337485
4.5,90,0.29,0.26,0.0,0.03,0.966604605243845,2931.525268055299
4.5,100,0.22,0.21,0.0,0.01,0.9943000373832188,3453.6964674231563
5.0,20,1.0,0.88,0.0,0.12,0.1495448535259705,0.0
5.0,30,1.0,0.85,0.0,0.15,-0.015357016436651223,0.0
5.0,40,0.33,0.26,0.01,0.06,0.9043393068339121,458.3335880718269
5.0,50,0.42,0.38,0.0,0.04,0.8133578396382961,885.5446704860356
5.0,60,0.36,0.33,0.0,0.03,0.8388237448458509,1367.0156192941947
5.0,70,0.3,0.25,0.0,0.05,0.8633351253434418,1849.617160587986
5.0,80,0.33,0.29,0.0,0.04,0.8633896959709554,2297.011253213598
5.0,90,0.35,0.31,0.0,0.04,0.826785473881883,2727.72364476305
5.0,100,0.28,0.26,0.0,0.02,0.930390888994488,3351.892573541769
